semestre;año;elect mensuales ingresantes;elec totales flota;convencionales totales flota;flota total;Emisiones electricos li/mi;Emisiones convencionales;emision total electricos;emision total conv;millas semetrales;emision total libras
2;2024;6;6;119;125;0,0835;0,6926;0,5013;82,4158;21977,23;1822286,762
1;2025;6;12;113;125;0,0835;0,6926;1,0025;78,2604;21977,23;1741978,406
2;2025;6;18;107;125;0,0835;0,6926;1,5038;74,1049;21977,23;1661670,049
1;2026;6;24;101;125;0,0835;0,6926;2,005;69,9495;21977,23;1581361,693
2;2026;6;30;95;125;0,0835;0,6926;2,5063;65,7941;21977,23;1501053,336
1;2027;6;36;89;125;0,0835;0,6926;3,0075;61,6387;21977,23;1420744,98
2;2027;6;42;83;125;0,0835;0,6926;3,5088;57,4833;21977,23;1340436,624
1;2028;6;48;77;125;0,0835;0,6926;4,01;53,3279;21977,23;1260128,267
2;2028;6;54;71;125;0,0835;0,6926;4,5113;49,1724;21977,23;1179819,911
1;2029;6;60;65;125;0,0835;0,6926;5,0126;45,017;21977,23;1099511,554
2;2029;6;66;59;125;0,0835;0,6926;5,5138;40,8616;21977,23;1019203,198
1;2030;6;72;53;125;0,0835;0,6926;6,0151;36,7062;21977,23;938894,8417
2;2030;6;78;47;125;0,0835;0,6926;6,5163;32,5508;21977,23;858586,4853
1;2031;6;84;41;125;0,0835;0,6926;7,0176;28,3954;21977,23;778278,1289
2;2031;6;90;35;125;0,0835;0,6926;7,5188;24,2399;21977,23;697969,7725
1;2032;6;96;29;125;0,0835;0,6926;8,0201;20,0845;21977,23;617661,4161
2;2032;6;102;23;125;0,0835;0,6926;8,5213;15,9291;21977,23;537353,0597
1;2033;6;108;17;125;0,0835;0,6926;9,0226;11,7737;21977,23;457044,7033
2;2033;6;114;11;125;0,0835;0,6926;9,5239;7,6183;21977,23;376736,3469
1;2034;6;120;5;125;0,0835;0,6926;10,0251;3,4628;21977,23;296427,9905
2;2034;5;125;0;125;0,0835;0,6926;10,4428;0;21977,23;229504,3602
